,Category,top10,top10_scores
454,membrane biology,"['nora mcdonald', 'pei dong', 'david kepplinger', 'omoche cheche agada', 'ilhan izmirli', 'david lattanzi', 'pilgyu kang', 'shanjiang zhu', 'hoda hassan', 'robert simon']","[0.08481889296799709, 0.08144629623753681, 0.07802743146408704, 0.07241672621247579, 0.05158821550227578, 0.04996877926639076, 0.046004370622823615, 0.037037037037037035, 0.03573708449459316, 0.03553345272593507]"
455,molecular biology,"['nora mcdonald', 'david kepplinger', 'omoche cheche agada', 'ilhan izmirli', 'hoda hassan', 'david lattanzi', 'shanjiang zhu', 'zhi tian', 'robert simon', 'zoran duric']","[0.06570043198176041, 0.060439788521549936, 0.05609375492155617, 0.049950074875218346, 0.04152273992686998, 0.03870564998580917, 0.03825168736994979, 0.032749062162160794, 0.02752409412815901, 0.025318484177091663]"
456,dna nanotechnology,"['quentin sanders', 'sai manoj pudukotai dinakarrao', 'wenying ji', 'filipe veiga', 'peggy brouse', 'mohamed ibrahem', 'kuochu chang', 'pei dong', 'jill nelson', 'shima mohebbi']","[0.15235690883400133, 0.12024072240843037, 0.11547005383792518, 0.09578262852211515, 0.09428090415820635, 0.08164965809277261, 0.07787821891933298, 0.07053456158585984, 0.06900655593423544, 0.06752237049095157]"
457,transportation air quality,"['shanjiang zhu', 'ilhan izmirli', 'zoran duric', 'mohamed ibrahem', 'wenying ji', 'gregory stein', 'zhi tian', 'david lattanzi', 'sara lynn gopalkrishna', 'sai manoj pudukotai dinakarrao']","[0.07500586006173493, 0.07400262829226792, 0.04412957816406879, 0.0397778642087865, 0.037502930030867465, 0.03460924150824369, 0.03424855030916862, 0.033731561385995645, 0.03314822017398875, 0.03124189692107516]"
458,transportation engineering,"['shanjiang zhu', 'pilgyu kang', 'zoran duric', 'david kepplinger', 'ilhan izmirli', 'shima mohebbi', 'md tanvir arafin', 'david binning', 'omoche cheche agada', 'pei dong']","[0.090369523160062, 0.08418720898838256, 0.0747685755693224, 0.07139443046999142, 0.07080416199096634, 0.06539514552561414, 0.06225728063646904, 0.06102434111269318, 0.05797809788174362, 0.05589199680799574]"
459,transportation planning,"['zoran duric', 'david lattanzi', 'shanjiang zhu', 'kenneth pasiah', 'gregory stein', 'ilhan izmirli', 'quentin sanders', 'david kepplinger', 'david binning', 'zhi tian']","[0.1265924208854583, 0.12579336245387981, 0.1195365230310931, 0.11037545522783256, 0.10590067644273117, 0.0999001497504367, 0.09539051339847822, 0.0906596827823249, 0.08856148855400953, 0.08842246783783417]"
460,dependent complex structured data ,"['ilhan izmirli', 'jyh ming lien', 'kenneth pasiah', 'pilgyu kang', 'zoran duric', 'kuochu chang', 'wenying ji', 'paulo costa', 'david kepplinger', 'david lattanzi']","[0.11377477241295136, 0.1131739773362678, 0.10974240765819973, 0.10629135653628222, 0.09611613136669071, 0.09444121251158397, 0.09335200560186731, 0.09280062187542742, 0.0901397130867928, 0.08396434371590246]"
461,high dimensional data,"['wenying ji', 'sara lynn gopalkrishna', 'david lattanzi', 'kenneth pasiah', 'sai manoj pudukotai dinakarrao', 'zoran duric', 'david binning', 'filipe veiga', 'sean luke', 'nathalia peixoto']","[0.11096529594184318, 0.10562503704960496, 0.08637092898287745, 0.07297799987900021, 0.07110759971140469, 0.06277524511897818, 0.05855505001214118, 0.05664364511319013, 0.054321447625511124, 0.054321447625511124]"
462,statistical machine learning,"['ilhan izmirli', 'kenneth pasiah', 'zoran duric', 'jyh ming lien', 'david lattanzi', 'filipe veiga', 'david kepplinger', 'zhi tian', 'quentin sanders', 'mohamed ibrahem']","[0.11561195826155268, 0.10218781497147272, 0.09376144618769909, 0.08586775814821837, 0.08062755464615244, 0.07931555175167318, 0.0699454637990666, 0.06973540199638717, 0.06938992863937674, 0.06761234037828133]"
463,survey sampling,"['david lattanzi', 'david kepplinger', 'ilhan izmirli', 'quentin sanders', 'david binning', 'kenneth pasiah', 'filipe veiga', 'zoran duric', 'shanjiang zhu', 'robert simon']","[0.34619385792633234, 0.337868689199743, 0.3276291711797649, 0.32502807217920276, 0.2970442628930023, 0.2879415244264045, 0.2873478855663454, 0.28306925853614895, 0.26372790074094016, 0.24618298195866548]"
464,data driven control,"['ilhan izmirli', 'filipe veiga', 'zoran duric', 'kuochu chang', 'david lattanzi', 'david binning', 'shanjiang zhu', 'gregory stein', 'nora mcdonald', 'quentin sanders']","[0.11462069314867121, 0.10921596471830987, 0.10374724208913788, 0.10275485831460293, 0.10044898924826105, 0.09274042761976956, 0.08882129977478644, 0.08678958060410674, 0.08375728801573902, 0.08189877914281443]"
465,distributed control,"['ilhan izmirli', 'filipe veiga', 'david lattanzi', 'david binning', 'kuochu chang', 'sean luke', 'quentin sanders', 'kenneth pasiah', 'zoran duric', 'shanjiang zhu']","[0.15165571414947138, 0.13894679545337643, 0.1355953844116706, 0.12065379433217113, 0.11116623395575373, 0.10660035817780521, 0.10078334752221982, 0.10024837124891763, 0.09855206599818045, 0.09305905696844556]"
466,bio metrics forensic science,"['peggy brouse', 'shima mohebbi', 'david binning', 'david lattanzi', 'ilhan izmirli', 'zoran duric', 'kuochu chang', 'pilgyu kang', 'filipe veiga', 'kenneth pasiah']","[0.2722178614686481, 0.22171668525393087, 0.21301305143216562, 0.19109383541230282, 0.17452310489144085, 0.1730769230769231, 0.16401427686094933, 0.14886628953921088, 0.14098821170927234, 0.1397269608362584]"
467,network web security,"['mohamed ibrahem', 'peggy brouse', 'shima mohebbi', 'kuochu chang', 'lap fai craig yu', 'md tanvir arafin', 'zhi tian', 'maryam parsa', 'david binning', 'pilgyu kang']","[0.20254068053782992, 0.1969463855669324, 0.1528037677352814, 0.13421289221487342, 0.12309149097933275, 0.10770505460691615, 0.10707946332519352, 0.10497984580422268, 0.10341753799900384, 0.0936281675898539]"
468,modeling simulation,"['lap fai craig yu', 'md tanvir arafin', 'shima mohebbi', 'omoche cheche agada', 'filipe veiga', 'hoda hassan', 'shanjiang zhu', 'kenneth pasiah', 'david kepplinger', 'nora mcdonald']","[0.08838834764831846, 0.08838834764831846, 0.07314923469853087, 0.0627147245589065, 0.05587319997123384, 0.054161140301640126, 0.05345835825829868, 0.05141812936185795, 0.050680303379961454, 0.04897021068743918]"
469,computer simulation modeling,"['lap fai craig yu', 'md tanvir arafin', 'filipe veiga', 'omoche cheche agada', 'shima mohebbi', 'mohamed ibrahem', 'hoda hassan', 'shanjiang zhu', 'kenneth pasiah', 'david kepplinger']","[0.08257228238447706, 0.08257228238447706, 0.08202334269083023, 0.07323502027873416, 0.06833592237483566, 0.05720775535473553, 0.05059726864729314, 0.04994073055283274, 0.04803475130276043, 0.04734547520530279]"
470,railroads,"['shanjiang zhu', 'shima mohebbi', 'peggy brouse', 'zoran duric', 'david binning', 'pilgyu kang', 'kuochu chang', 'md tanvir arafin', 'zhi tian', 'maryam parsa']","[0.1656346649999844, 0.1569078098447415, 0.1460593486680443, 0.08770580193070293, 0.07669649888473705, 0.06172133998483676, 0.06032420898137439, 0.045643546458763846, 0.04537843165207518, 0.04152273992686998]"
471,policies,"['robert simon', 'jyh ming lien', 'david lattanzi', 'pilgyu kang', 'gregory stein', 'pei dong', 'nathalia peixoto', 'maryam parsa', 'ilhan izmirli', 'giacomo francisci']","[0.04029114820126901, 0.03394221166510653, 0.028329634983503674, 0.02608202654786505, 0.02583711946644009, 0.023087854826980506, 0.017817416127494958, 0.017546560158589908, 0.014623884514353085, 0.0]"
472,motion planning,"['david lattanzi', 'gregory stein', 'zoran duric', 'ilhan izmirli', 'kenneth pasiah', 'david binning', 'lap fai craig yu', 'md tanvir arafin', 'david kepplinger', 'zhi tian']","[0.1198505197688612, 0.09837518129928377, 0.09407722612579772, 0.09073881712989065, 0.07594961047823161, 0.07312724241271305, 0.0652791209833867, 0.0652791209833867, 0.0623831410632437, 0.06219579059965688]"
473,power systems,"['david lattanzi', 'ilhan izmirli', 'filipe veiga', 'kenneth pasiah', 'david binning', 'md tanvir arafin', 'wenying ji', 'shanjiang zhu', 'shima mohebbi', 'quentin sanders']","[0.14212956347561903, 0.1185174051961884, 0.11292893446058003, 0.10392450340736509, 0.091724012100281, 0.08932370012631206, 0.08751899489873673, 0.0864385134802338, 0.07960973163348813, 0.07698459807738642]"
474,digital twin simulation,"['lap fai craig yu', 'md tanvir arafin', 'omoche cheche agada', 'kenneth pasiah', 'pilgyu kang', 'shanjiang zhu', 'ilhan izmirli', 'zoran duric', 'hoda hassan', 'nora mcdonald']","[0.09563650695950075, 0.06375767130633384, 0.059375360920362746, 0.05563459910038708, 0.05388506717613029, 0.05205792062953535, 0.04834035410466309, 0.04594229188737667, 0.04185896193338691, 0.039739456782117426]"
475,systems architecture,"['md tanvir arafin', 'lap fai craig yu', 'gregory stein', 'sai manoj pudukotai dinakarrao', 'david lattanzi', 'jyh ming lien', 'hoda hassan', 'pilgyu kang', 'wenying ji', 'jill nelson']","[0.18898223650461363, 0.157485197087178, 0.08438367882147811, 0.07498326453175641, 0.06939315030888374, 0.06928424943421166, 0.06617222226472869, 0.06388765649999399, 0.06172133998483676, 0.05532833351724882]"
476,multimedia systems,"['md tanvir arafin', 'david lattanzi', 'lap fai craig yu', 'jyh ming lien', 'gregory stein', 'sai manoj pudukotai dinakarrao', 'jill nelson', 'pilgyu kang', 'filipe veiga', 'kenneth pasiah']","[0.09476225544736294, 0.08351072427750202, 0.07580980435789035, 0.06670373459650701, 0.06346935994595918, 0.058010213561413455, 0.055487095202309406, 0.051256782962565965, 0.04107590266330869, 0.0396907351248666]"
477,ar vr systems security,"['md tanvir arafin', 'mohamed ibrahem', 'filipe veiga', 'maryam parsa', 'kenneth pasiah', 'peggy brouse', 'pei dong', 'pilgyu kang', 'sai manoj pudukotai dinakarrao', 'david lattanzi']","[0.11111111111111113, 0.10584754935143138, 0.10535551623000387, 0.06949232066139949, 0.06786846816903419, 0.06666666666666667, 0.06650062240717552, 0.06573421981221796, 0.06140552180372304, 0.06119900613621046]"
478,mobile iot systems,"['md tanvir arafin', 'shanjiang zhu', 'david lattanzi', 'jyh ming lien', 'gregory stein', 'filipe veiga', 'pilgyu kang', 'pei dong', 'kenneth pasiah', 'robert simon']","[0.07693218186208298, 0.07258606443538754, 0.0677976922058353, 0.0676912951342353, 0.06183267359749296, 0.05002084636321551, 0.04161251892882395, 0.03683547343418787, 0.03222269075858067, 0.032141217326661246]"
479,immersive computing,"['lap fai craig yu', 'omoche cheche agada', 'hoda hassan', 'shima mohebbi', 'nora mcdonald', 'robert simon', 'quentin sanders', 'ilhan izmirli', 'md tanvir arafin', 'zoran duric']","[0.16984155512168939, 0.10544512713012867, 0.1040726808537592, 0.0973100927453325, 0.09409811314590939, 0.08869685939836239, 0.08782786991173896, 0.08584797978606536, 0.08492077756084469, 0.08158924398306319]"
480,automated machine learning,"['ilhan izmirli', 'zoran duric', 'david lattanzi', 'filipe veiga', 'jyh ming lien', 'kenneth pasiah', 'gregory stein', 'quentin sanders', 'mohamed ibrahem', 'zhi tian']","[0.09887741304602858, 0.0871627267280818, 0.08328129877731794, 0.07987796029912558, 0.07982457867856663, 0.07916338887545517, 0.06456089310788486, 0.06450642170735393, 0.06285393610547088, 0.06200899093055834]"
481,system level optimization applied ,"['david lattanzi', 'gregory stein', 'kenneth pasiah', 'pilgyu kang', 'md tanvir arafin', 'ilhan izmirli', 'paulo costa', 'shima mohebbi', 'nathalia peixoto', 'wenying ji']","[0.16016209724029723, 0.12947168259196076, 0.11764212905946048, 0.0938351290644441, 0.08921830339329122, 0.0789183744010205, 0.07572933029922398, 0.07194286378426278, 0.0686802819743445, 0.0647523908238176]"
482,hardware software co design neural archi,"['lap fai craig yu', 'md tanvir arafin', 'david kepplinger', 'pilgyu kang', 'david lattanzi', 'zoran duric', 'shima mohebbi', 'zhi tian', 'david binning', 'ilhan izmirli']","[0.25262336669604396, 0.24114048639167834, 0.16460197327608544, 0.1630407264489847, 0.16022491658347932, 0.15445352357424078, 0.14912567572926475, 0.14270229295486925, 0.13506568821883777, 0.1349459692388415]"
483,heterogenous systems,"['md tanvir arafin', 'david lattanzi', 'pilgyu kang', 'gregory stein', 'jyh ming lien', 'peggy brouse', 'filipe veiga', 'kenneth pasiah', 'sai manoj pudukotai dinakarrao', 'lap fai craig yu']","[0.10206207261596578, 0.07495316889958614, 0.05520524474738834, 0.05468687416197306, 0.05388159060803248, 0.04898979485566357, 0.044240101088746486, 0.042748229992745794, 0.0416526080700374, 0.04082482904638631]"
484,gpus,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
485,reliability,"['david lattanzi', 'wenying ji', 'giacomo francisci', 'david kepplinger', 'ilhan izmirli', 'jason goldberg', 'kenneth pasiah', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka']","[0.052999894000317994, 0.04714045207910316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
486,bio inspired robotics,"['kenneth pasiah', 'sean luke', 'jyh ming lien', 'gregory stein', 'filipe veiga', 'david binning', 'robert simon', 'zhi tian', 'peggy brouse', 'paulo costa']","[0.07556890827898176, 0.075, 0.06350006350009525, 0.06042103056535397, 0.05865464152543312, 0.040422604172722164, 0.03768891807222045, 0.035874800166708756, 0.028867513459481287, 0.02756589232099856]"
487,scheduling control,"['ilhan izmirli', 'filipe veiga', 'david lattanzi', 'david binning', 'quentin sanders', 'zoran duric', 'shanjiang zhu', 'wenying ji', 'shima mohebbi', 'david kepplinger']","[0.16048346247960985, 0.13762454339706298, 0.1321287863769308, 0.11855716567159644, 0.10398361278258712, 0.10168147934776052, 0.09217348397603778, 0.08986914687663684, 0.08893408880100176, 0.08495621115675453]"
488,human robot interaction,"['lap fai craig yu', 'zoran duric', 'gregory stein', 'maryam parsa', 'ilhan izmirli', 'david lattanzi', 'jill nelson', 'filipe veiga', 'zhi tian', 'nathalia peixoto']","[0.07216878364870323, 0.06933752452815364, 0.03625261833921238, 0.032826608214930636, 0.027358782758229137, 0.026499947000158997, 0.021128856368212913, 0.019551547175144374, 0.017937400083354378, 0.016666666666666666]"
489,cyber physical system,"['pei dong', 'maryam parsa', 'pilgyu kang', 'md tanvir arafin', 'david lattanzi', 'gregory stein', 'paulo costa', 'shima mohebbi', 'ilhan izmirli', 'jill nelson']","[0.09060328484045485, 0.08763704002132351, 0.07443873683187767, 0.06881023532039755, 0.05053341616328513, 0.046087353798183586, 0.04205287530759117, 0.04205287530759117, 0.04173692135563012, 0.040291148201269014]"
490,ai nlp programming,"['lap fai craig yu', 'zoran duric', 'omoche cheche agada', 'hoda hassan', 'md tanvir arafin', 'peggy brouse', 'nora mcdonald', 'robert simon', 'zhi tian', 'filipe veiga']","[0.36596252735569995, 0.19924307314886056, 0.19474772166784568, 0.13454905527673564, 0.12198750911856665, 0.09759000729485331, 0.09124017073867975, 0.08918825850158446, 0.08186329799575884, 0.07931555175167318]"
491,human in the loop,"['lap fai craig yu', 'zoran duric', 'zhi tian', 'hoda hassan', 'omoche cheche agada', 'jyh ming lien', 'filipe veiga', 'jill nelson', 'maryam parsa', 'robert simon']","[0.2125976013810936, 0.12766073029704134, 0.08586611918468123, 0.08374629801565386, 0.07777980145978933, 0.07014785603174337, 0.06479516905228648, 0.06224220440894772, 0.06043868462871549, 0.055512738165336896]"
492,question answering,"['zhi tian', 'david lattanzi', 'david kepplinger', 'kenneth pasiah', 'gregory stein', 'shima mohebbi', 'pilgyu kang', 'wenying ji', 'jill nelson', 'david binning']","[0.1014692578863682, 0.07495316889958614, 0.0731507169975816, 0.07124704998790965, 0.06835859270246633, 0.058476088168908785, 0.05175491695067657, 0.05, 0.044821072850039764, 0.04287464628562721]"
493,computational photography,"['lap fai craig yu', 'zoran duric', 'hoda hassan', 'md tanvir arafin', 'peggy brouse', 'david lattanzi', 'sean luke', 'maryam parsa', 'filipe veiga', 'omoche cheche agada']","[0.16984155512168939, 0.08158924398306319, 0.05947010334500526, 0.056613851707229795, 0.04529108136578384, 0.041576537496303176, 0.03922322702763681, 0.03862696519684536, 0.03067499094368956, 0.030127179180036764]"
494,computational linguistics,"['lap fai craig yu', 'ilhan izmirli', 'md tanvir arafin', 'zoran duric', 'nora mcdonald', 'hoda hassan', 'shanjiang zhu', 'sean luke', 'maryam parsa', 'filipe veiga']","[0.2041241452319315, 0.10317643100455157, 0.06804138174397717, 0.06537204504606134, 0.056545928645331395, 0.053605626741889734, 0.04938271604938271, 0.04714045207910317, 0.046423834544262965, 0.036866750907288734]"
495,5g wireless security,"['mohamed ibrahem', 'zhi tian', 'peggy brouse', 'jill nelson', 'sai manoj pudukotai dinakarrao', 'shima mohebbi', 'maryam parsa', 'kuochu chang', 'pilgyu kang', 'filipe veiga']","[0.16583123951776996, 0.16224988852084402, 0.13926212476455826, 0.11467061807346574, 0.10360426858380029, 0.09973715109828152, 0.09897594780811196, 0.09777869003227484, 0.08827348295047495, 0.082530185882947]"
496,physical layer security,"['pei dong', 'mohamed ibrahem', 'maryam parsa', 'ilhan izmirli', 'pilgyu kang', 'peggy brouse', 'omoche cheche agada', 'filipe veiga', 'zhi tian', 'hoda hassan']","[0.11461866257702225, 0.11226827987756233, 0.1072112534837795, 0.06701505774131554, 0.05976143046671969, 0.05892556509887897, 0.05487538398904318, 0.047891314261057576, 0.047598933976072566, 0.04642383454426297]"
497,cps iot security,"['mohamed ibrahem', 'filipe veiga', 'peggy brouse', 'maryam parsa', 'quentin sanders', 'pei dong', 'sai manoj pudukotai dinakarrao', 'kuochu chang', 'hoda hassan', 'kenneth pasiah']","[0.17149858514250882, 0.08047350426922262, 0.07921180343813394, 0.06755660236665674, 0.06400270353129695, 0.059260885094595976, 0.0589297411071829, 0.05888771222345027, 0.05200509674923438, 0.05183984340243758]"
